timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712227222890,4380,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-307,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4220,0,71
1712227227266,4,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-1797,text,false,,2629,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,0,0,4
1712227227190,80,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-366,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,80
1712227222890,4280,HTTP Request-0,302,Found,Thread Group(10000 ) 1-307,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4220,0,71
1712227222905,4264,HTTP Request-0,302,Found,Thread Group(10000 ) 1-324,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4208,0,58
1712227222839,4431,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-153,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4278,0,123
1712227227191,79,HTTP Request-1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-307,text,false,,3125,0,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,0,0,79
1712227222838,4432,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread Group(10000 ) 1-256,text,false,,4058,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/auth/login,4280,0,123
1712227222839,4330,HTTP Request-0,302,Found,Thread Group(10000 ) 1-153,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4278,0,123
1712227222838,4330,HTTP Request-0,302,Found,Thread Group(10000 ) 1-256,text,true,,933,154,1881,1881,http://localhost/orangehrm-5.6/web/index.php/dashboard/index,4280,0,123
